id,municipio,municipio_uf,latitude,longitude,uf
5388,AURORA DO TOCANTINS,AURORA DO TOCANTINS - TO,-12.71,-46.4,TO
130,AUTAZES,AUTAZES - AM,-3.58,-59.13,AM
4775,AVAI,AVAI - SP,-22.14,-49.33,SP
4776,AVANHANDAVA,AVANHANDAVA - SP,-21.46,-49.95,SP
4777,AVARE,AVARE - SP,-23.09,-48.92,SP
2407,AVEIRO,AVEIRO - PA,-3.6,-55.33,PA
2960,AVELINO LOPES,AVELINO LOPES - PI,-10.13,-43.94,PI
907,AVELINOPOLIS,AVELINOPOLIS - GO,-16.46,-49.75,GO
1139,AXIXA,AXIXA - MA,-2.83,-44.05,MA
5389,AXIXA DO TOCANTINS,AXIXA DO TOCANTINS - TO,-5.61,-47.76,TO
5390,BABACULANDIA,BABACULANDIA - TO,-7.2,-47.75,TO
1140,BACABAL,BACABAL - MA,-4.22,-44.78,MA
1141,BACABEIRA,BACABEIRA - MA,-2.97,-44.31,MA
1142,BACURI,BACURI - MA,-1.7,-45.13,MA
1143,BACURITUBA,BACURITUBA - MA,-2.7,-44.73,MA
4778,BADY BASSITT,BADY BASSITT - SP,-20.91,-49.44,SP
1391,BAEPENDI,BAEPENDI - MG,-21.95,-44.89,MG
3915,BAGE,BAGE - RS,-31.33,-54.1,RS
2408,BAGRE,BAGRE - PA,-1.9,-50.16,PA
2555,BAIA DA TRAICAO,BAIA DA TRAICAO - PB,-6.68,-34.93,PB
3669,BAIA FORMOSA,BAIA FORMOSA - RN,-6.36,-35,RN
231,BAIANOPOLIS,BAIANOPOLIS - BA,-12.3,-44.53,BA
2409,BAIAO,BAIAO - PA,-2.79,-49.67,PA
232,BAIXA GRANDE,BAIXA GRANDE - BA,-11.96,-40.16,BA
2961,BAIXA GRANDE DO RIBEIRO,BAIXA GRANDE DO RIBEIRO - PI,-7.85,-45.21,PI
637,BAIXIO,BAIXIO - CE,-6.73,-38.71,CE
812,BAIXO GUANDU,BAIXO GUANDU - ES,-19.51,-41.01,ES
